date,value
2026-03-02,101682.74
2026-03-03,99654.64
2026-03-04,100037.79
2026-03-05,99633.42
2026-03-06,99322.45
2026-03-09,99200.8
2026-03-10,97647.33
2026-03-11,97514.97
2026-03-12,96888.76
2026-03-13,99512.89
2026-03-16,99742.4
2026-03-17,99510.89
2026-03-18,99336.72
2026-03-19,98855.49
2026-03-20,98070.46
2026-03-23,97812.89
2026-03-24,98238.92
2026-03-25,98100.56
2026-03-26,98901.26
2026-03-27,98792.63
2026-03-30,98861.19
2026-03-31,100133.2
2026-04-01,100619.93
2026-04-02,100263.55
2026-04-03,100167.03
2026-04-06,100650.25
2026-04-07,102258.72
2026-04-08,102089.28
2026-04-09,101941.4
2026-04-10,102809.79
2026-04-13,102132.1
2026-04-14,101944.82
2026-04-15,102715.55
2026-04-16,103243.8
2026-04-17,103371.01
2026-04-20,103976.85
2026-04-21,101676.33
2026-04-22,102557.91
2026-04-23,101821.83
2026-04-24,100513.53
2026-04-27,100786.08
2026-04-28,101401.31
2026-04-29,101091.21
2026-04-30,100271.24
2026-05-01,100342.33
2026-05-04,100350.16
2026-05-05,101528.75
2026-05-06,102186.58
2026-05-07,102396.12
2026-05-08,103357.93
2026-05-11,103239.67
2026-05-12,102526.57
2026-05-13,103056.89
2026-05-14,103588.69
2026-05-15,103462.46
2026-05-18,102866.26
2026-05-19,103106.27
2026-05-20,101100.73
2026-05-21,101709.46
2026-05-22,102160.13
2026-05-25,100871.8
2026-05-26,100971.75
2026-05-27,100243.46
2026-05-28,100900.83
2026-05-29,99309.29
2026-06-01,98632.4
2026-06-02,99241.62
2026-06-03,100209.35
2026-06-04,98529.43
2026-06-05,98186.12
2026-06-08,98492.87
2026-06-09,98062.09
2026-06-10,99358.98
2026-06-11,98461.78
2026-06-12,98790.28
2026-06-15,98011.09
2026-06-16,99162.5
2026-06-17,99194.9
2026-06-18,98949.1
2026-06-19,97638.47
2026-06-22,99000.98
2026-06-23,99646.68
2026-06-24,100297.23
2026-06-25,101260.39
2026-06-26,101593.92
2026-06-29,101125.17
2026-06-30,100528.34
2026-07-01,99935.06
2026-07-02,101080.37
2026-07-03,99949.98
2026-07-06,99523.1
2026-07-07,99317.09
2026-07-08,99545.22
2026-07-09,100053.18
2026-07-10,99103.4
2026-07-13,97781.35
2026-07-14,97826.78
2026-07-15,98825.45
2026-07-16,99473.4
2026-07-17,99694.74
2026-07-20,99491.64
2026-07-21,99774.78
2026-07-22,99630.44
2026-07-23,100331.6
2026-07-24,99744.1
2026-07-27,99901.09
2026-07-28,99862.51
2026-07-29,100346.53
2026-07-30,100577.04
2026-07-31,102679.12
2026-08-03,103961.51
2026-08-04,105258.31
2026-08-05,103593.54
2026-08-06,103363.3
2026-08-07,102911.72
2026-08-10,103401.76
2026-08-11,101568.22
2026-08-12,102573.34
2026-08-13,103500.18
2026-08-14,102473.81
