price,size,won
0.555,198.25,1
0.396,45.84,1
0.318,45.46,1
0.526,63.59,0
0.659,53.95,0
0.213,50.51,1
0.813,189.88,0
0.693,169.35,1
0.211,49.5,0
0.466,57.0,1
0.83,188.56,0
0.239,48.32,1
0.178,48.37,0
0.503,203.32,0
0.452,157.49,1
0.28,48.27,1
0.812,175.94,1
0.11,228.38,0
0.688,178.17,0
0.776,218.08,1
0.716,62.85,1
0.303,190.81,0
0.439,45.69,0
0.541,51.46,0
0.191,49.98,0
0.87,172.31,1
0.628,53.58,1
0.608,67.65,0
0.45,48.1,1
0.655,48.5,0
0.08,170.99,0
0.514,52.45,1
0.888,41.47,1
0.763,42.35,1
0.397,60.58,0
0.626,43.65,1
0.467,235.22,0
0.433,62.85,0
0.613,51.98,0
0.305,217.31,1
0.294,268.05,0
0.615,48.55,0
0.61,45.74,1
0.33,40.81,0
0.598,201.26,1
0.435,249.68,1
0.723,57.74,1
0.683,43.41,0
0.478,43.98,1
0.596,46.36,0
0.41,52.24,1
0.309,48.48,0
0.95,51.63,1
0.501,52.28,1
0.35,47.81,0
0.517,198.8,1
0.555,51.57,0
0.283,49.37,0
0.22,53.92,0
0.126,66.2,0
